speaker_id,speaker_name,country,political_group_raw,national_party_raw
118859,Roberta METSOLA,http://publications.europa.eu/resource/authority/country/MLT,,
28298,Iratxe GARCÍA PÉREZ,http://publications.europa.eu/resource/authority/country/ESP,,
197781,Malik AZMANI,http://publications.europa.eu/resource/authority/country/NLD,,
103381,Terry REINTKE,http://publications.europa.eu/resource/authority/country/DEU,,
236051,Eric MINARDI,http://publications.europa.eu/resource/authority/country/FRA,,
197529,Leila CHAIBI,http://publications.europa.eu/resource/authority/country/FRA,,
24942,Ana MIRANDA PAZ,http://publications.europa.eu/resource/authority/country/ESP,,
197711,Dolors MONTSERRAT,http://publications.europa.eu/resource/authority/country/ESP,,
2341,Michael GAHLER,http://publications.europa.eu/resource/authority/country/DEU,,
197773,Bert-Jan RUISSEN,http://publications.europa.eu/resource/authority/country/NLD,,
197805,Silvia MODIG,http://publications.europa.eu/resource/authority/country/FIN,,
197628,Jean-Paul GARRAUD,http://publications.europa.eu/resource/authority/country/FRA,,
197771,Vladimír BILČÍK,http://publications.europa.eu/resource/authority/country/SVK,,
1927,Peter LIESE,http://publications.europa.eu/resource/authority/country/DEU,,
96725,Bas EICKHOUT,http://publications.europa.eu/resource/authority/country/NLD,,
124929,Ivan ŠTEFANEC,http://publications.europa.eu/resource/authority/country/SVK,,
197677,Günther SIDL,http://publications.europa.eu/resource/authority/country/AUT,,
197398,Pär HOLMGREN,http://publications.europa.eu/resource/authority/country/SWE,,
238639,Johan NISSINEN,http://publications.europa.eu/resource/authority/country/SWE,,
192635,Danilo Oscar LANCINI,http://publications.europa.eu/resource/authority/country/ITA,,
125023,Anja HAZEKAMP,http://publications.europa.eu/resource/authority/country/NLD,,
197408,Hildegard BENTELE,http://publications.europa.eu/resource/authority/country/DEU,,
197680,Aurélia BEIGNEUX,http://publications.europa.eu/resource/authority/country/FRA,,
197571,Nikolaj VILLUMSEN,http://publications.europa.eu/resource/authority/country/DNK,,
197473,Christian DOLESCHAL,http://publications.europa.eu/resource/authority/country/DEU,,
197731,Clare DALY,http://publications.europa.eu/resource/authority/country/IRL,,
36803,,,,
197770,Martin HOJSÍK,http://publications.europa.eu/resource/authority/country/SVK,,
96779,Danuta Maria HÜBNER,http://publications.europa.eu/resource/authority/country/POL,,
197767,Eugen JURZYCA,http://publications.europa.eu/resource/authority/country/SVK,,
88715,José GUSMÃO,http://publications.europa.eu/resource/authority/country/PRT,,
96830,Enikő GYŐRI,http://publications.europa.eu/resource/authority/country/HUN,,
125046,Jonás FERNÁNDEZ,http://publications.europa.eu/resource/authority/country/ESP,,
197839,Radan KANEV,http://publications.europa.eu/resource/authority/country/BGR,,
96998,Evelyn REGNER,http://publications.europa.eu/resource/authority/country/AUT,,
188945,Dennis RADTKE,http://publications.europa.eu/resource/authority/country/DEU,,
125021,Agnes JONGERIUS,http://publications.europa.eu/resource/authority/country/NLD,,
197663,Dragoş PÎSLARU,http://publications.europa.eu/resource/authority/country/ROU,,
197500,Mounir SATOURI,http://publications.europa.eu/resource/authority/country/FRA,,
197468,Özlem DEMIREL,http://publications.europa.eu/resource/authority/country/DEU,,
95074,Jeroen LENAERS,http://publications.europa.eu/resource/authority/country/NLD,,
197455,Cindy FRANSSEN,http://publications.europa.eu/resource/authority/country/BEL,,
96829,Ádám KÓSA,http://publications.europa.eu/resource/authority/country/HUN,,
197785,Eugenia RODRÍGUEZ PALOP,http://publications.europa.eu/resource/authority/country/ESP,,
29579,Marc TARABELLA,http://publications.europa.eu/resource/authority/country/BEL,,
198329,Estrella DURÁ FERRANDIS,http://publications.europa.eu/resource/authority/country/ESP,,
197817,Mick WALLACE,http://publications.europa.eu/resource/authority/country/IRL,,
124747,Pedro SILVA PEREIRA,http://publications.europa.eu/resource/authority/country/PRT,,
245018,Christophe CLERGEAU,http://publications.europa.eu/resource/authority/country/FRA,,
124844,Piernicola PEDICINI,http://publications.europa.eu/resource/authority/country/ITA,,
124738,Gilles LEBRETON,http://publications.europa.eu/resource/authority/country/FRA,,
23699,Kateřina KONEČNÁ,http://publications.europa.eu/resource/authority/country/CZE,,
124834,Martin SONNEBORN,http://publications.europa.eu/resource/authority/country/DEU,,
125065,Elissavet VOZEMBERG-VRIONIDI,http://publications.europa.eu/resource/authority/country/GRC,,
197889,Grace O'SULLIVAN,http://publications.europa.eu/resource/authority/country/IRL,,
197440,Delara BURKHARDT,http://publications.europa.eu/resource/authority/country/DEU,,
197446,Milan BRGLEZ,http://publications.europa.eu/resource/authority/country/SVN,,
58766,Nicolae ȘTEFĂNUȚĂ,http://publications.europa.eu/resource/authority/country/ROU,,
236052,Patricia CHAGNON,http://publications.europa.eu/resource/authority/country/FRA,,
88882,Victor NEGRESCU,http://publications.europa.eu/resource/authority/country/ROU,,
124802,Siegfried MUREŞAN,http://publications.europa.eu/resource/authority/country/ROU,,
197820,Nicola PROCACCINI,http://publications.europa.eu/resource/authority/country/ITA,,
204334,Vincenzo SOFO,http://publications.europa.eu/resource/authority/country/ITA,,
28266,Sophia IN 'T VELD,http://publications.europa.eu/resource/authority/country/NLD,,
197670,Andreas SCHIEDER,http://publications.europa.eu/resource/authority/country/AUT,,
197692,Stelios KYMPOUROPOULOS,http://publications.europa.eu/resource/authority/country/GRC,,
197528,Ondřej KNOTEK,http://publications.europa.eu/resource/authority/country/CZE,,
28340,Patrizia TOIA,http://publications.europa.eu/resource/authority/country/ITA,,
125064,Maria SPYRAKI,http://publications.europa.eu/resource/authority/country/GRC,,
197657,Tudor CIUHODARU,http://publications.europa.eu/resource/authority/country/ROU,,
28294,Ljudmila NOVAK,http://publications.europa.eu/resource/authority/country/SVN,,
124735,Miapetra KUMPULA-NATRI,http://publications.europa.eu/resource/authority/country/FIN,,
197800,Eero HEINÄLUOMA,http://publications.europa.eu/resource/authority/country/FIN,,
197445,Moritz KÖRNER,http://publications.europa.eu/resource/authority/country/DEU,,
96868,Karima DELLI,http://publications.europa.eu/resource/authority/country/FRA,,
204420,Claude GRUFFAT,http://publications.europa.eu/resource/authority/country/FRA,,
197634,Pedro MARQUES,http://publications.europa.eu/resource/authority/country/PRT,,
197464,Hannah NEUMANN,http://publications.europa.eu/resource/authority/country/DEU,,
187917,Marc BOTENGA,http://publications.europa.eu/resource/authority/country/BEL,,
197734,Lefteris NIKOLAOU-ALAVANOS,http://publications.europa.eu/resource/authority/country/GRC,,
228604,Ilan DE BASSO,http://publications.europa.eu/resource/authority/country/SWE,,
197435,Gabriele BISCHOFF,http://publications.europa.eu/resource/authority/country/DEU,,
190713,Lukas MANDL,http://publications.europa.eu/resource/authority/country/AUT,,
197870,Kim VAN SPARRENTAK,http://publications.europa.eu/resource/authority/country/NLD,,
197792,Daniela RONDINELLI,http://publications.europa.eu/resource/authority/country/ITA,,
197403,Alex AGIUS SALIBA,http://publications.europa.eu/resource/authority/country/MLT,,
124866,Ilhan KYUCHYUK,http://publications.europa.eu/resource/authority/country/BGR,,
229352,Malte GALLÉE,http://publications.europa.eu/resource/authority/country/DEU,,
218349,Michiel HOOGEVEEN,http://publications.europa.eu/resource/authority/country/NLD,,
197668,Vlad-Marius BOTOŞ,http://publications.europa.eu/resource/authority/country/ROU,,
96648,Philippe LAMBERTS,http://publications.europa.eu/resource/authority/country/BEL,,
5729,Kathleen VAN BREMPT,http://publications.europa.eu/resource/authority/country/BEL,,
197470,Saskia BRICMONT,http://publications.europa.eu/resource/authority/country/BEL,,
197520,Izabela-Helena KLOC,http://publications.europa.eu/resource/authority/country/POL,,
202352,Antoni COMÍN I OLIVERES,http://publications.europa.eu/resource/authority/country/ESP,,
197402,Tomas TOBÉ,http://publications.europa.eu/resource/authority/country/SWE,,
197413,Karlo RESSLER,http://publications.europa.eu/resource/authority/country/HRV,,
28150,Kinga GÁL,http://publications.europa.eu/resource/authority/country/HUN,,
4246,Othmar KARAS,http://publications.europa.eu/resource/authority/country/AUT,,
28353,Anna FOTYGA,http://publications.europa.eu/resource/authority/country/POL,,
197843,Andrius KUBILIUS,http://publications.europa.eu/resource/authority/country/LTU,,
197497,Sven MIKSER,http://publications.europa.eu/resource/authority/country/EST,,
125214,Bronis ROPĖ,http://publications.europa.eu/resource/authority/country/LTU,,
197537,Alexandr VONDRA,http://publications.europa.eu/resource/authority/country/CZE,,
124891,Zdzisław KRASNODĘBSKI,http://publications.europa.eu/resource/authority/country/POL,,
251198,,,,
197523,Łukasz KOHUT,http://publications.europa.eu/resource/authority/country/POL,,
